"red_count","black_count","white_count","proportion_red_to_red_black","file_name","percent_complete","ID"
7,44399,271352,0.000157636355447462,"CA230378_16_infill.jpg",0.999842363644553,"CA230378_16"
172,44550,272262,0.00384598184338804,"CA230378_17_infill.jpg",0.996154018156612,"CA230378_17"
567,44215,271797,0.0126613371443884,"CA230378_18_infill.jpg",0.987338662855612,"CA230378_18"
467,44160,270849,0.0104645169964371,"CA230378_19_infill.jpg",0.989535483003563,"CA230378_19"
70,43253,269396,0.00161576991436419,"CA230378_2_infill.jpg",0.998384230085636,"CA230378_2"
135,44246,269546,0.00304184222978302,"CA230378_20_infill.jpg",0.996958157770217,"CA230378_20"
162,43082,263538,0.00374618444177227,"CA230378_22_infill.jpg",0.996253815558228,"CA230378_22"
23,42678,264116,0.00053862907191869,"CA230378_23_infill.jpg",0.999461370928081,"CA230378_23"
30,42124,270103,0.000711676234758267,"CA230378_24_infill.jpg",0.999288323765242,"CA230378_24"
92,41479,271171,0.00221308123451445,"CA230378_25_infill.jpg",0.997786918765486,"CA230378_25"
82,41173,271903,0.00198763786207732,"CA230378_26_infill.jpg",0.998012362137923,"CA230378_26"
41,40871,270872,0.00100215095815409,"CA230378_28_infill.jpg",0.998997849041846,"CA230378_28"
72,40959,268748,0.00175477078306646,"CA230378_31_infill.jpg",0.998245229216933,"CA230378_31"
102,41199,268416,0.00246967385777584,"CA230378_32_infill.jpg",0.997530326142224,"CA230378_32"
165,41433,268722,0.0039665368527333,"CA230378_33_infill.jpg",0.996033463147267,"CA230378_33"
183,42015,268641,0.00433669842172615,"CA230378_34_infill.jpg",0.995663301578274,"CA230378_34"
232,42455,269237,0.00543490992573852,"CA230378_35_infill.jpg",0.994565090074262,"CA230378_35"
88,42919,269568,0.00204617852907666,"CA230378_36_infill.jpg",0.997953821470923,"CA230378_36"
7,43998,270571,0.000159072832632655,"CA230378_5_infill.jpg",0.999840927167367,"CA230378_5"
55,44057,271749,0.001246826260428,"CA230378_6_infill.jpg",0.998753173739572,"CA230378_6"
100,44483,274095,0.00224300742435457,"CA230378_9_infill.jpg",0.997756992575645,"CA230378_9"
259,59496,365970,0.0043343653250774,"CA230381_1_infill.jpg",0.995665634674923,"CA230381_1"
5,61323,369270,8.15288285937908e-05,"CA230381_16_infill.jpg",0.999918471171406,"CA230381_16"
